ID,Titre,Entreprise,Lieu,Source,Date,Description,Lien
1260,"Offre d'emploi pour ingénieurs chargés d'études / (bac+5) / contrat cdi - Rabat","A discuter","Rabat","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Dans le cadre du développement de ses activités, un bureau d'études basé à rabat recrute plusieurs ingénieurs (Bac+5). Une première expérience dans le domaine des études serait un atout. Profils recherchés : - Aménagement hydro-agricole, - Eau potable et assainissement , - VRD ; - Voirie & Pistes. Les candidats intéressés sont invités à envoyer leurs candidatures via ce site","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10294081/Offre-demploi-pour-ingénieurs-chargés-détudes-(bac5)-contrat-cdi.html"
1261,"Chef de Nettoyage (H/F) Rabat","Multinational","Rabat","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Dans le cadre de notre développement, nous recherchons des Chefs de Nettoyage (H/F) sur site pour encadrer et coordonner les équipes de propreté sur nos sites. Vos missions : Organiser et superviser les opérations de nettoyage Encadrer, former et motiver les équipes Répartir les tâches et gérer les plannings Veiller au respect des règles d’hygiène, de sécurité et des procédures qualité Contrôler la qualité des prestations et assurer le suivi des interventions Gérer le matériel et les produits de nettoyage Profil recherché : Expérience souhaitée dans le domaine du nettoyage ou de la propreté Capacité à encadrer une équipe Sens de l’organisation et des responsabilités Autonomie, rigueur et bon relationnel La connaissance des normes d’hygiène est un plus.","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10300348/Chef-de-Nettoyage-(HF)-Rabat.html"
1262,"chef comptable - Casablanca","SMEF","Casablanca","MarocAnnonces","03/01/2026","Mes Favoris Mon compte Déconnexion FAQ Contact Le candidat devra, avant tout, témoigner de son expérience professionnelle réussie d’au moins 3 ans dans un service de comptabilité générale et de recouvrement de créances clients. Elle devra témoigner des compétences, connaissances et qualités suivantes : Compétences • Organiser le travail • Gérer l’information et l’organiser un classement efficace • Produire des documents attractifs • Maitriser la comptabilité • Savoir collecter, traiter et transmettre les informations oralement et par écrit Connaissances • Autonomie informatique : Excel, Word, etc. • Connaissance de la comptabilité générale jusqu’au niveau du bilan • Gestion du temps et des priorités","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10298528/chef-comptable.html"
1263,"Chargé de marketing digital H/F - Tanger","Confidentiel","Tanger","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Chargé(e) de Marketing Digital – Tanger Dans le cadre de notre développement, nous recrutons un(e) Chargé(e) de Marketing Digital motivé(e) et créatif(ve) pour rejoindre notre équipe à Tanger. Missions : - Mise en œuvre des campagnes de marketing digital - Création des supports et contenus marketing - Gestion et animation des réseaux sociaux - Suivi des projets marketing et communication - Veille concurrentielle et analyse des tendances digitales Profil recherché : - Formation en marketing, communication ou digital - Première expérience en marketing digital - Maîtrise des outils numériques (connaissances en IA appréciées) - Créatif(ve), rigoureux(se), curieux(se) et autonome - Bonne orthographe et aisance rédactionnelle","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10300361/Chargé-de-marketing-digital-HF.html"
1264,"Acheteuse en BTP Confirmée - Rabat","Ste Imilchil SARL","Rabat","MarocAnnonces","03/01/2026","Mes Favoris Mon compte Déconnexion FAQ Contact Dans le cadre du renforcement de notre équipe, nous recrutons une Acheteuse BTP confirmée, parfaitement bilingue, disposant impérativement d’une expérience probante d’au moins 5 ans dans les achats en BTP. Missions principales : -Veiller au respect des objectifs de délais et de fiabilité dans le traitement des demandes d’achats -Assurer le suivi des achats des différents chantiers -Planifier les achats et les approvisionnements dès le démarrage des chantiers -Prospecter le marché et identifier les fournisseurs potentiels -Participer à l’élaboration des appels d’offres (AO) -Assurer le suivi des prestations des fournisseurs et sous-traitants -Veiller à la conformité des achats effectués -Traiter et classer les devis, bons de commande et bons de réception selon les procédures en vigueur -Vérifier la conformité des prix facturés par rapport aux devis -Établir et classer les réclamations auprès des fournisseurs -Assurer le suivi des livraisons et signaler tout incident à la hiérarchie -Suivre le planning des approvisionnements des chantiers Profil recherché : -Expérience obligatoire de minimum 5 ans dans les achats BTP -Formation supérieure en commerce, économie ou équivalent -Excellentes capacités de négociation et de prise de décision -Bon relationnel avec fournisseurs, clients et sous-traitants -Sens de l’organisation, rigueur et intégrité -Diplomatie, autorité et esprit d’initiative -Mobilité géographique requise -Très grande disponibilité Qualités personnelles : Ponctuelle, rigoureuse, organisée, intègre et dotée d’un excellent sens relationnel.","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10300363/Acheteuse-en-BTP-Confirmée.html"
1265,"Technicien de garde : laboratoire d’analyses médic - Larache","Laboratoire d’analyses médicales","Larache","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Laboratoire d’analyses médicales sur la ville de LARACHE cherche à recruter un technicien de GARDE (NUITS et WEEK-ENDS) honnête, rigoureux, discret et compétent. Une expérience dans le domaine et la réalisation des prélèvements sanguins sont des atouts. Pour les débutants intéressés, une période de formation leur sera consacrée. Veuillez envoyer vos CV avec photo récente à l’adresse mail ci-jointe.","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10300365/Technicien-de-garde-laboratoire-d’analyses-médic.html"
1266,"Cherche commerciale fille à dar bouazza / bac+2 - Casablanca","Société à Dar Bouazza","Casablanca","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Nous sommes une société basée à dar bouazza, nous recherchons une Commerciale motivée et sérieuse pour rejoindre notre équipe. La candidate idéale doit avoir un bon sens de communication, être organisée, dynamique et orientée vers les résultats. Profil recherché : Niveau Bac+2 en commerce ou équivalent Expérience souhaitée dans un poste similaire Qui habite à dar bouazza ou proximité ( Rahma- Sidi Rahal- Had Soualem) Merci envoyer votre Cv avec photo","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10300368/Cherche-commerciale-fille-à-dar-bouazza-bac2.html"
1267,"ASSISTANTE POLYVALENTE -SERVICE IMPORT - Casablanca","STE IMPORTATION DE PRODUIT COSMETIQUE","Casablanca","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact STE d'import basée sur Ain Sebaa recrute jeune fille pour un poste d'assistante polyvalente ""service import"", avec une fonction BAC+2, ayant une expérience minimum 2 ans dans un poste similaire avec une maitrise de la langue française et anglais ainsi que la gestion commerciale SAGE 100","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10291771/ASSISTANTE-POLYVALENTE-SERVICE-IMPORT.html"
1268,"Responsable commercial/circuit traditionnel / bac+4 - Casablanca","Industrie","Casablanca","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Entreprise industrielle leader dans son secteur d’activité, recrute un Responsable Commercial - Circuit Traditionnel. Poste : Rattaché(e) au Directeur Commercial, vos principales missions seront les suivantes : - Déploiement de la politique commerciale de l’entreprise propre au circuit traditionnel. - Développer et fidéliser le portefeuille clients traditionnels sur tout le Maroc. - Suivi et contrôle des recouvrements clients. - Veille commerciale et concurrentiel. - Assurer un reporting régulier et structuré de l’activité commercial sur le circuit traditionnel. - Encadrement et suivi de l’équipe commercial dédié au circuit traditionnel. Profil recherché : De Formation Bac+4 en commerce, avec une expérience professionnelle de 5 ans minimum dans un poste similaire. Vous maîtrisez les techniques de vente, de négociation et de développement commercial et vous êtes parfaitement familiarisé avec les spécificités du commerce traditionnel (grossistes, semi-grossiste, revendeurs, détaillants, Souks, etc). Vous avez une excellente capacité d’organisation, de rigueur et de planification avec un bon sens de communication, d’écoute, d’analyse et de coordination. Type de contrat : CDI.","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10293343/Responsable-commercialcircuit-traditionnel-bac4.html"
1269,"Responsable du développement retail & wholesale / bac+5 - Rabat","ANNONYME","Rabat","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Définir et mettre en œuvre la stratégie de développement Retail&Wholesale afin d’assurer la croissance, la rentabilité et le positionnement des marques sur le marché, tout en optimisant les ressources et en garantissant la performance des équipes. Responsabilités clés: 1.Stratégie et Développement -Définir la vision et les objectifs de développement Retail&Wholesale. -Identifier les opportunités de marché et élaborer des plans de croissance. -Assurer le lancement des marques sur le marché (positionnement, stratégie marketing et commerciale). -Développer des partenariats stratégiques pour renforcer la présence des marques. -Piloter la stratégie omnicanale (magasins physiques, e-commerce, wholesale). 2.Gestion Financière -Élaborer et suivre le budget de développement. -Garantir la rentabilité des projets et optimiser les coûts. 3.Pilotage Opérationnel -Superviser les activités Retail&Wholesale. -Mettre en place des processus efficaces pour maximiser la performance. 4.Management des Équipes -Encadrer, motiver et développer les collaborateurs. -Assurer le recrutement et la formation des équipes. 5.Développement Commercial -Définir la stratégie commerciale pour Retail&Wholesale. -Négocier avec les clients clés et développer le réseau de distribution. 6.Reporting et Analyse -Suivre les KPI et produire des rapports réguliers. -Proposer des actions correctives et des plans d’amélioration. Missions transverses: •Coordination avec Marketing, Finance, Supply Chain et RH. •Pilotage de la transformation digitale pour améliorer l’expérience client. •Veille stratégique sur les tendances du marché et la concurrence. •Respect des normes légales et des politiques RSE. •Communication interne et externe avec les partenaires et le Comité de Direction. Profil recherché: Bac+5 en Commerce, Management ou équivalent. Minimum 5 à 8 ans en développement Retail&Wholesale. Expérience confirmée dans la gestion et le développement de marques (lancement, position","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10300373/Responsable-du-développement-retail-et-wholesale-bac5.html"
1270,"Agent d'expédition / bac+2 - Casablanca","SIRMEL","Casablanca","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Bac+2 en logistique avec une expérience en tant que magasinier / agent d'expédition dans un environnement structuré. Maitrise Sage","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10294120/Agent-dexpédition-bac2.html"
1271,"Chargé(e) d’Import - Casablanca","AR","Casablanca","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Une société basée à Casablanca recrute un(e) Chargé(e) d’Import pour gérer l’ensemble des opérations d’import, depuis la commande à l’étranger jusqu’à l’arrivée de la marchandise, et assurer le suivi administratif et opérationnel avec nos différents interlocuteurs. Missions : • Gestion complète des opérations d’import : commande, transport, livraison et paiement. • Suivi documentaire et réglementaire des dossiers import (PortNet, apurement, etc.). • Calcul des coûts d’achat et préparation des dossiers pour la comptabilité (Sage). • Optimisation du transport international et suivi des transporteurs. • Coordination avec les services internes : commercial, stock, comptabilité. • Optimisation des processus pour assurer l’efficacité opérationnelle et réduire les coûts. Profil recherché : • Expérience d’au moins 3 ans dans le domaine de l’import. • Formation dans le domaine de l’import obligatoire. • Excellente connaissance des réglementations douanières et des procédures import-export. • Capacité à travailler sous pression et à gérer plusieurs tâches simultanément. • Maîtrise des outils informatiques et des systèmes de gestion logistique. • Excellentes compétences en communication et en négociation. • Maîtrise courante du français et de l’anglais. Disponibilité : immédiate","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10299219/Chargé(e)-d’Import.html"
1272,"Artisons de Chebbakia LAAYOUNE ET DAKHLA","BEST PROFIL","Dakhla","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact BEST PROFIL recrute pour le compte de son client a DAKHLA ET LAAYOUNE des Artisons de Chebbakia POSTE: -La fabrication Chebbakia selon les normes de qualité de l'entreprise. -La personnalisation de nos produits selon les demandes spécifiques des clients. -La gestion de l'inventaire des matières premières et des produits finis. -La participation à l'amélioration continue des processus de production. PROFIL: -Maîtrise des techniques de fabrication de la chebbakia, y compris la préparation de la pâte, la découpe, la friture et le glaçage. -Connaissance des normes d'hygiène et de sécurité alimentaire. -Capacité à travailler efficacement en équipe et à respecter les délais de production. -Esprit d'initiative et capacité à travailler de manière autonome.","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10300378/Artisons-de-Chebbakia-LAAYOUNE-ET-DAKHLA.html"
1273,"ASSISTANTE COMPTABLE DE DIRECTION - Agadir","FIDUAM","Agadir","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Cabinet fiduciaire basée sur Agadir 2 Postes offerts : secrétaire comptable de direction - Aide comptable Résidence : Agadir Profils et Niveau d’études : minimum bac plus 2 expérience : d’une année à 2 ans de préférence dans une fiduciaire Missions - Tenue de la comptabilité générale ; - Les déclarations fiscales ; - La gestion de paie","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10300382/ASSISTANTE-COMPTABLE-DE-DIRECTION.html"
1274,"Agent de recouvrement - casablanca","Anonyme","Casablanca","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Nous sommes une société à Casa nous recherchons un agent de recouvrement sérieux pour appeler nos clients et se déplacer chez eux pour le suivi des paiements. Profil recherché : Bon niveau de communication À l’aise au téléphone Sérieux, honnête et organisé Expérience en recouvrement est nécessaire Missions : Appeler les clients pour le suivi des paiements Effectuer des déplacements chez les clients Assurer le reporting des encaissements Maintenir une bonne relation client شركة في تطور مستمر تبحث عن شخص جدي لمهمة الاتصال بالزبناء والتنقل عندهم من أجل تتبع الأداءات. المواصفات المطلوبة: تواصل مزيان مرتاح فالمكالمات الهاتفية منظم، نزيه ويتحمل المسؤولية رخصة السياقة مستحسنة تجربة فمجال التحصيل تعتبر ميزة المهام: الاتصال بالزبناء لتتبع الأداءات التنقل عند الزبناء عند الحاجة تسجيل ومتابعة المبالغ المؤداة الحفاظ على علاقة مزيانة مع الزبناء","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10298552/Agent-de-recouvrement-casablanca.html"
1275,"Responsable Marketing & Communication - Casablanca","A discuter","Casablanca","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact OFFRE D’EMPLOI – Responsable Marketing & Communication Secteur : Hôtellerie & Éducation Localisation : Casablanca – Maroc Nous recherchons un(e) Responsable Marketing & Communication talentueux(se), créatif(ve) et orienté(e) performance pour piloter l’image, la stratégie digitale et le développement commercial de nos établissements : SuiteLoc – Apparthôtel Premium Unico Hotel – Hôtels 4★ à Casablanca Établissement scolaire privé --- MISSIONS PRINCIPALES Marketing & Communication Hôtelière Développer la stratégie de communication des hôtels (SuiteLoc & Unico). Créer, planifier et piloter les campagnes B2B, corporate & agences de voyages. Développer la notoriété digitale : Facebook, Instagram, LinkedIn, SEO, Google Business. Mettre en place des campagnes pour augmenter les réservations directes. Produire les contenus visuels & rédactionnels (photos, vidéos, brochures, newsletters). Gérer les relations avec agences, corporate et partenaires tourisme. Objectif mesurable : augmenter le taux d’occupation & améliorer la note Booking. Marketing & Communication de l'École Élaboration d’une stratégie globale annuelle de visibilité et d’image. Création des supports d'information : brochures, vidéos, affichage interne et externe. Animation des réseaux sociaux, communication parentale, annonces officielles. Organisation d’événements internes : journées portes ouvertes, forums, salons. Mise en valeur des projets pédagogiques, innovation & modernisation de l’école. --- PROFIL RECHERCHÉ Expérience en marketing digital + communication (hôtellerie est un atout). Maîtrise des réseaux sociaux, outils CRM, Meta/Google Ads, SEO. Excellente rédaction FR/ENG, sens visuel, créativité. Autonomie, rigueur, sens de l’organisation. Capacité à piloter plusieurs projets en parallèle. --- CONDITIONS & AVANTAGES Poste basé à Casablanca. Salaire selon profil + objectifs. Opport","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10291783/Responsable-Marketing-et-Communication.html"
1276,"Technicien Installation GPS Véhicules - Casablanca","Anonyme","Casablanca","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Nous sommes une société spécialisée dans l’installation de systèmes GPS pour tous types de véhicules. Profil recherché : Formation en électricité automobile ou électronique Expérience souhaitée dans l’installation des GPS (atout) Savoir lire un schéma électrique Sérieux, ponctuel et motivé Disponible immédiatement Missions : Installation de boîtiers GPS sur véhicules Vérification du bon fonctionnement إعلان توظيف – تقني تركيب أجهزة GPS للسيارات نبحث عن تقني لتركيب أجهزة تتبع GPS – الدار البيضاء نحن شركة متخصصة في تركيب أجهزة GPS لجميع أنواع السيارات. المواصفات المطلوبة: تكوين في كهرباء السيارات أو الإلكترونيات تجربة في تركيب أجهزة GPS تعتبر ميزة يعرف يقرا مخطط كهرباء السيارة جدي، منضبط ومتحمس للعمل متوفر في أقرب وقت المهام: تركيب أجهزة GPS في السيارات التأكد من أن الجهاز يخدم مزيان","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10298556/Technicien-Installation-GPS-Véhicules.html"
1277,"Acheteur(se) technique btp / bac +2/3/5 - Marrakech","CONFIDENTIEL","Marrakech","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Notre groupe immobilier spécialisée dans la construction tous corps d'état (TCE) à Marrakech, recherche un(e) acheteur(e) technique BTP pour renforcer son service achat. Missions principales Rattaché(e) au Responsable Achats, vous aurez pour missions : - Identifier et sélectionner les fournisseurs et sous-traitants adaptés aux besoins des chantiers. - Négocier les conditions commerciales, les délais et la qualité des produits/services. - Optimiser les coûts tout en respectant les standards qualité et sécurité. - Assurer un suivi rigoureux des commandes et des livraisons. - Établir et maintenir de bonnes relations avec les partenaires et prestataires. - Contribuer à l’amélioration continue des processus achats. Profil recherché -Bac +2/3/5 en génie civil ou équivalent. -Expérience confirmée (minimum 5 ans) dans les achats, idéalement dans le secteur du BTP. - Bonne connaissance des matériaux de construction, normes et réglementations du secteur. - Excellentes compétences en négociation et en gestion de fournisseurs. - Maîtrise des outils bureautiques et ERP achats.","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10295643/Acheteur(se)-technique-btp-bac-235.html"
1278,"Commerciale de Vente - Casablanca","GROUPE","Casablanca","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact OFFRE D'EMPLOI : Commerciale de Vente Confirmée (F) Lieu : Casablanca Disponibilité : Immédiate Nous recherchons pour notre point de vente à Casablanca, une Commerciale confirmée dynamique, dotée d’une excellente présentation et d’un tempérament de ""closeuse"". - Votre Mission : Sous la responsabilité de la direction, vous serez l'ambassadrice de notre marque avec pour objectifs : Vente Conseil : Accueillir une clientèle exigeante et offrir un accompagnement personnalisé. Performance Commerciale : Maîtriser les techniques de vente croisée (Cross-selling) pour maximiser le panier moyen. Merchandising : Veiller à la tenue irréprochable du magasin et à la mise en valeur attractive de nos produits. Résultats : Atteindre et surpasser les objectifs de chiffre d'affaires mensuels. - Profil Recherché : Candidate (Femme) justifiant d'une expérience réussie en vente directe ou en boutique. Excellente élocution et aisance relationnelle naturelle. Maîtrise parfaite des techniques de persuasion et de traitement des objections. Capacité à gérer la pression liée aux objectifs de vente. Rigueur, ponctualité et sens aigu du service client. - Conditions de Rémunération : Salaire Fixe : 5 000 DH net. Primes : Système de commissions motivant non plafonné, basé sur vos performances réelles et l'atteinte des objectifs.","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10300390/Commerciale-de-Vente.html"
1279,"DESSINATEUR projeteur en architecture - Casablanca","AZARCHITECTS","Casablanca","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact DESSINATEUR SENIOR L'agence AZARCHITECTS recrute. Si vous êtes animé(e) par une passion sincère pour l'architecture et que vous aspirez à grandir au sein d'un environnement jeune et créatif où chaque contribution compte, nous serions ravis de vous accueillir. Profil: • Un technicien projeteur polyvalent (production graphique 2D et 3D), organisé précis et dynamique. + de 5 ans d'expérience. Compétences requises : • Créativité, curiosité intellectuelle et liberté d’esprit ; • Bonne compétences de communication orale et écrite ; • Maitrise des bases de la conception architecturale et du dessin technique. • Maitriser les logiciels de dessin 2D, 3D: maitrise parfaite de ArchiCAD 2D + 3D et M.Office et connaissances de base en AutoCAD. • Atouts complémentaires appréciés : connaissances en BIM (Revit), maitrise de 3DS MAX et/ou Lumion. Attributions principales • Participation au consultations et concours ; • Développement des différentes phases des projets en cours; • Suivi des procédures administratives ; • Suivi de chantier, coordination et gestion des échanges avec les intervenants ; Envoyez votre CV et/ou portfolio via ce site.","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10295649/DESSINATEUR-projeteur-en-architecture.html"
1280,"Service commercial - Temara","A discuter","Temara","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Nous recrutons dans le cadre de notre développement, un chargé des marchés ayant une expérience dans le service commercial, chiffrage et la réponse administrative des appel d'offres. De formation Bac2, Bac+3, Bac +4 ou plus. Ayant un bon sens de communication et de responsabilité.","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10297902/Service-commercial.html"
1281,"secrétaire standardiste - Marrakech","Société d'Electricité","Marrakech","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Nous recrutons une secrétaire polyvalente motivée et sérieuse pour renforcer notre équipe au Maroc. Missions : • Accueil téléphonique et réception des clients • Gestion des emails et du planning • Rédaction, classement et archivage des documents • Suivi administratif quotidien • Assistance à la direction Merci de nous envoyer vos cv","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10293375/secrétaire-standardiste.html"
1282,"Pré vendeur détail à Casablanca","Confidentiel","Casablanca","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Nous cherchons un pré vendeur détail circuit traditionnel sur Casablanca pour rejoindre notre équipe dans le secteur de la grande distribution. Vous serez comme mission de : - Commercialiser nos produits, - Contribuer à l'atteinte des objectifs de vente, - Satisfaire les besoins de nos clients, * Conduite de la moto est obligatoire N'hésitez pas d'envoyer vos CV","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10300395/Pré-vendeur-détail-à-Casablanca.html"
1283,"Pré vendeur détail à Tanger bac+2","Confidentiel","Tanger","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Nous cherchons un pré vendeur détail circuit traditionnel sur Tanger pour rejoindre notre équipe dans le secteur de la grande distribution. Vous serez comme mission de : - Commercialiser nos produits, - Contribuer à l'atteinte des objectifs de vente, - Satisfaire les besoins de nos clients, * Conduite de la moto est obligatoire N'hésitez pas d'envoyer vos CV","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10300398/Pré-vendeur-détail-à-Tanger-bac2.html"
1284,"Prévendeur Motorisé Fruits et Légumes - Casablanca","Non spécifié","Casablanca","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Société de distribution de fruits & légumes frais recrute des Pré-vendeurs pour prospection et prise de commandes terrain. Missions : Visiter les clients (épiceries, snacks, cafés, restaurants, supérettes…). Présenter l’offre, développer le portefeuille et prendre les commandes. Assurer le suivi : disponibilité produits, promotions, réclamations, recouvrement simple si besoin. Remonter les infos marché (prix, concurrence, besoins clients). Profil : Expérience vente terrain / distribution souhaitée (FMCG ou produits frais apprécié). Bon relationnel, sérieux(se), autonome, orienté(e) résultats. Obligatoire : motorisé(e) avec sa propre moto. شركة متخصصة في توزيع الخضر والفواكه الطرية تبحث عن بائعين مسبقين للعمل نهارًا ميدانيًا. المهام: زيارة الزبناء (بقالات، سناك، مقاهي، مطاعم، محلات…). تقديم العرض التجاري وتطوير الزبناء وأخذ الطلبات. تتبع الزبناء: توفر المنتجات، العروض، الشكايات، وتحصيل بسيط عند الحاجة. نقل معلومات السوق للإدارة (الأسعار، المنافسة، احتياجات الزبناء). الشروط: تجربة في البيع الميداني/التوزيع محبذة (FMCG أو مواد طازجة). تواصل جيد، الجدية، الاستقلالية، وروح النتائج. شرط أساسي: يتوفر على درّاجة نارية خاصة + رخصة سياقة. التوقيت: نهار (حسب البرنامج) الأجر: راتب قار + تحفيزات حسب الأهداف + تعويض خاص بالدراجة (بنزين/صيانة). المدينة: الدار البيضاء والنواحي (حسب التحديد) العقد: CDI / CDD (حسب التحديد) الترشيح: إرسال السيرة الذاتية + مكان السكن + رقم الهاتف.","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10293382/Prévendeur-Motorisé-Fruits-et-Légumes.html"
1285,"Pré vendeur détail à Marrakech","Confidentiel","Marrakech","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Nous cherchons un pré vendeur détail circuit traditionnel sur Marrakech pour rejoindre notre équipe dans le secteur de la grande distribution. Vous serez comme mission de : - Commercialiser nos produits, - Contribuer à l'atteinte des objectifs de vente, - Satisfaire les besoins de nos clients, * Conduite de la moto est obligatoire N'hésitez pas d'envoyer vos CV","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10300399/Pré-vendeur-détail-à-Marrakech.html"
1286,"Chauffeur à Tanger avec permis C","Confidentiel","Tanger","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Nous sommes à la recherche des des aides vendeurs des chauffeurs de camion avec permis ""C"" à Tanger pour le circuit traditionnel. profil recherché : - niveau bac ou plus, - permis de conduire type ""c"" - expérience obligatoire dans un poste similaire. N’hésitez pas à envoyer vos cv's","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10300402/Chauffeur-à-Tanger-avec-permis-C.html"
1287,"Aide vendeur à beni mellal avec permis C","Confidentiel","Beni Mellal","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Nous sommes à la recherche des des aides vendeurs des chauffeurs de camion avec permis ""C"" à Beni mellal pour le circuit traditionnel. profil recherché : - niveau bac ou plus, - permis de conduire type ""c"" - expérience obligatoire dans un poste similaire. N’hésitez pas à envoyer vos cv's","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10300403/Aide-vendeur-à-beni-mellal-avec-permis-C.html"
1288,"Aide vendeur à Nador avec permis C","Confidentiel","Nador","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Nous sommes à la recherche des des aides vendeurs des chauffeurs de camion avec permis ""C"" à Nador pour le circuit traditionnel. profil recherché : - niveau bac ou plus, - permis de conduire type ""c"" - expérience obligatoire dans un poste similaire. N’hésitez pas à envoyer vos cv's","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10300404/Aide-vendeur-à-Nador-avec-permis-C.html"
1289,"Comptable Confirmé(e) - Casablanca","Sté T T G E","Casablanca","MarocAnnonces","03/01/2026","Mes Favoris Mon compte Déconnexion FAQ Contact Nous recherchons un(e) Comptable Confirmé(e), le/la candidat(e) sera chargé(e) de superviser l’ensemble des fonctions comptables et financières de l’entreprise, vous traitez, suivant la norme du plan comptable, les opérations comptables dédiées jusqu’au bilan et à la liasse fiscale. *Missions principales : • Tenue comptable et supervision des activités comptables réalisées par les différentes entités; • Gestion de la facturation; • Pilotage des flux financiers entre les entités; • Gestion de la fiscalité courante (TVA, IS…); • Élaborer les budgets annuels, assurer leur suivi et produire des reportings financiers; • Garantir la conformité aux normes fiscales et réglementaires en vigueur; • Gérer la trésorerie et établir les prévisions financières; • Assurer les relations avec les partenaires externes (banques, auditeurs, expert comptable, administrations fiscales...); • Réaliser des reporting mensuels et clôtures annuelles; • Mise en place et suivi de tableaux de bord; • Veille constante sur les évolutions fiscales, comptables et réglementaires. *Profil recherché : • Formation : Bac+5 en comptabilité et finance ou équivalent; • Expérience : Minimum 10 ans dans un poste similaire, idéalement en PME ou cabinet d’audit; • Compétences : o Maîtrise des outils comptables et financiers; o Excellente connaissance de la réglementation comptable marocaine; o Capacités managériales et aptitude à travailler sous pression; o Bonne maîtrise des outils informatiques (Excel, ERP, Sage...). Pour toute personne intéressé par ce poste, il n'a que laisser sa postulation et son CV+Photo afin qu'il passe au processus de recrutement. Bon courage!","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10297089/Comptable-Confirmé(e).html"
